frequency,x,y,z
2039.5,0.0021,0.0013,0.0187
2046,0.002,0.0012,0.016
2052.4,0.0019,0.0013,0.0146
2058.9,0.0015,0.0011,0.0109
2065.4,0.0015,0.0012,0.011
2071.8,0.0016,0.0012,0.0112
2078.3,0.0015,0.0011,0.0101
2084.8,0.0012,0.0008,0.0069
2091.3,0.0011,0.0009,0.006
2097.7,0.001,0.0008,0.006
2104.2,0.0009,0.0008,0.006
2110.7,0.001,0.001,0.0075
2117.2,0.0011,0.0009,0.0073
2123.6,0.0011,0.0008,0.0062
2130.1,0.0009,0.0008,0.0062
2136.6,0.0009,0.0008,0.0062
2143.1,0.0008,0.0007,0.0056
2149.5,0.0007,0.0008,0.006
2156,0.0007,0.0009,0.006
2162.5,0.0007,0.0008,0.0056
2169,0.0007,0.0008,0.0053
2175.4,0.0006,0.0008,0.0054
2181.9,0.0006,0.0008,0.0053
2188.4,0.0006,0.0008,0.005
2194.9,0.0005,0.0009,0.0052
2201.3,0.0005,0.0009,0.0052
2207.8,0.0005,0.0009,0.005
2214.3,0.0005,0.0008,0.0048
2220.8,0.0004,0.0011,0.0058
2227.2,0.0009,0.001,0.0065
2233.7,0.0019,0.001,0.0091
2240.2,0.0011,0.0009,0.0068
2246.7,0.0007,0.0009,0.0043
2253.1,0.0007,0.0009,0.0041
2259.6,0.0007,0.001,0.0048
2266.1,0.0008,0.001,0.0048
2272.6,0.0007,0.0009,0.0048
2279,0.0006,0.0008,0.0045
2285.5,0.0007,0.0009,0.0046
2292,0.0007,0.0008,0.0042
2298.5,0.0007,0.0007,0.0036
2304.9,0.0007,0.0007,0.0036
2311.4,0.0006,0.0008,0.0035
2317.9,0.0006,0.0009,0.0037
2324.4,0.0006,0.0008,0.0033
2330.8,0.0007,0.0008,0.0041
2337.3,0.0009,0.001,0.0046
2343.8,0.0013,0.0011,0.0075
2350.3,0.0062,0.0016,0.0298
2356.7,0.0071,0.0018,0.0333
2363.2,0.0025,0.0013,0.0115
2369.7,0.0009,0.0013,0.0051
2376.2,0.0008,0.0014,0.0047
2382.6,0.0008,0.0014,0.0042
2389.1,0.001,0.0015,0.004
2395.6,0.0009,0.0015,0.004
2402.1,0.0011,0.0016,0.0034
2408.5,0.0011,0.0015,0.0032
2415,0.0013,0.0015,0.0032
2421.5,0.0012,0.0014,0.0028
2428,0.0013,0.0014,0.0027
2434.4,0.0016,0.0015,0.0033
2440.9,0.0015,0.0016,0.0033
2447.4,0.0018,0.0018,0.0039
2453.9,0.0018,0.0017,0.0038
2460.3,0.0019,0.0018,0.0044
2466.8,0.0024,0.0019,0.0094
2473.3,0.0046,0.0029,0.0225
2479.7,0.0035,0.0023,0.0174
2486.2,0.0014,0.0018,0.0045
2492.7,0.0014,0.0018,0.0045
